fundo,fecha,temp_max,temp_min,precipitacion_mm,humedad_pct,radiacion_mj_m2
San Ramón,2023-01-01,27.4,15.4,3.0,76.3,19.1
San Ramón,2023-01-04,26.5,16.3,20.0,52.6,21.8
San Ramón,2023-01-07,26.6,19.2,6.6,81.7,16.0
San Ramón,2023-01-10,26.8,14.2,30.8,82.5,25.9
San Ramón,2023-01-13,24.8,15.8,0.0,75.9,13.0
San Ramón,2023-01-16,23.7,17.7,5.5,65.5,20.6
San Ramón,2023-01-19,28.7,16.4,9.4,78.4,21.1
San Ramón,2023-01-22,26.1,16.8,5.4,87.2,23.1
San Ramón,2023-01-25,30.7,15.5,20.2,67.6,19.4
San Ramón,2023-01-28,25.2,19.2,11.3,66.9,22.6
San Ramón,2023-01-31,28.2,18.1,5.7,68.5,19.8
San Ramón,2023-02-03,29.2,15.4,6.9,59.2,19.8
San Ramón,2023-02-06,27.8,20.0,0.5,70.8,19.9
San Ramón,2023-02-09,30.4,15.5,14.1,59.1,25.7
San Ramón,2023-02-12,28.7,15.3,7.3,75.1,19.0
San Ramón,2023-02-15,26.3,15.4,1.2,66.4,18.2
San Ramón,2023-02-18,24.3,16.8,36.6,66.8,20.8
San Ramón,2023-02-21,29.6,18.1,11.1,67.6,17.7
San Ramón,2023-02-24,25.1,15.5,4.0,62.1,20.4
San Ramón,2023-02-27,25.3,13.4,16.6,59.1,21.7
San Ramón,2023-03-02,31.1,15.9,0.3,80.7,12.8
San Ramón,2023-03-05,32.6,21.6,4.2,69.0,17.1
San Ramón,2023-03-08,27.0,15.8,1.3,68.9,16.4
San Ramón,2023-03-11,27.3,17.7,3.2,63.6,19.5
San Ramón,2023-03-14,26.7,17.8,14.5,75.8,13.9
San Ramón,2023-03-17,24.2,15.9,1.6,52.8,23.3
San Ramón,2023-03-20,25.0,19.7,1.0,67.5,21.8
San Ramón,2023-03-23,24.6,17.9,21.9,59.1,18.8
San Ramón,2023-03-26,26.5,16.0,1.9,62.1,26.9
San Ramón,2023-03-29,24.4,19.9,2.3,70.0,18.0
San Ramón,2023-04-01,26.8,18.3,0.1,81.9,18.4
San Ramón,2023-04-04,28.1,15.1,11.8,58.5,18.2
San Ramón,2023-04-07,28.3,12.9,2.3,85.2,24.5
San Ramón,2023-04-10,26.2,13.9,0.5,46.8,24.4
San Ramón,2023-04-13,27.1,20.3,2.2,79.2,19.6
San Ramón,2023-04-16,26.9,13.9,1.1,76.8,27.1
San Ramón,2023-04-19,30.2,15.5,1.2,56.3,25.9
San Ramón,2023-04-22,25.7,19.6,2.7,68.7,22.1
San Ramón,2023-04-25,28.5,16.1,2.5,69.8,18.5
San Ramón,2023-04-28,29.4,16.4,1.1,76.0,19.7
San Ramón,2023-05-01,28.9,15.8,5.6,87.4,26.2
San Ramón,2023-05-04,29.9,15.9,1.3,83.8,18.6
San Ramón,2023-05-07,26.1,20.4,1.4,87.7,14.4
San Ramón,2023-05-10,29.0,20.8,2.5,67.4,15.3
San Ramón,2023-05-13,30.4,15.1,1.4,57.7,26.2
San Ramón,2023-05-16,30.6,16.6,2.6,85.4,18.5
San Ramón,2023-05-19,24.9,13.2,13.0,55.5,17.5
San Ramón,2023-05-22,29.5,15.9,0.2,62.8,20.3
San Ramón,2023-05-25,32.5,16.0,3.8,54.3,26.1
San Ramón,2023-05-28,26.5,18.8,0.1,76.1,22.7
San Ramón,2023-05-31,26.5,18.9,3.2,77.8,18.4
San Ramón,2023-06-03,28.6,15.8,4.7,59.3,21.0
San Ramón,2023-06-06,27.8,15.6,0.3,71.3,17.5
San Ramón,2023-06-09,27.4,14.7,2.6,80.6,21.1
San Ramón,2023-06-12,30.6,12.7,4.8,66.0,14.5
San Ramón,2023-06-15,27.1,17.1,3.3,58.6,21.6
San Ramón,2023-06-18,27.7,17.4,0.4,83.8,19.6
San Ramón,2023-06-21,32.1,15.1,4.1,69.4,18.7
San Ramón,2023-06-24,29.3,16.1,1.0,82.3,27.5
San Ramón,2023-06-27,27.6,14.1,1.9,70.1,16.0
San Ramón,2023-06-30,31.8,21.2,1.2,69.9,14.8
San Ramón,2023-07-03,31.5,16.8,1.4,74.8,17.7
San Ramón,2023-07-06,28.0,13.8,0.9,81.6,19.2
San Ramón,2023-07-09,27.3,14.3,0.1,61.2,18.1
San Ramón,2023-07-12,27.7,16.9,3.3,67.7,23.2
San Ramón,2023-07-15,26.7,16.2,0.1,68.7,15.9
San Ramón,2023-07-18,27.6,18.7,1.3,66.3,14.5
San Ramón,2023-07-21,30.0,16.5,0.7,70.9,15.2
San Ramón,2023-07-24,25.1,13.8,9.6,62.7,21.9
San Ramón,2023-07-27,25.6,18.2,0.7,70.4,20.2
San Ramón,2023-07-30,33.5,17.9,0.3,76.9,28.6
San Ramón,2023-08-02,23.6,15.0,2.8,65.8,18.7
San Ramón,2023-08-05,24.4,19.5,0.9,68.0,24.2
San Ramón,2023-08-08,27.6,14.7,1.1,67.7,17.0
San Ramón,2023-08-11,28.2,13.9,0.9,71.2,20.8
San Ramón,2023-08-14,31.3,15.8,2.1,64.5,19.2
San Ramón,2023-08-17,27.5,15.0,3.4,64.4,21.4
San Ramón,2023-08-20,28.0,19.1,4.2,77.6,25.5
San Ramón,2023-08-23,29.6,20.1,1.1,79.5,22.8
San Ramón,2023-08-26,27.2,16.6,1.4,76.2,17.1
San Ramón,2023-08-29,27.2,12.0,2.2,67.8,21.8
San Ramón,2023-09-01,31.3,17.3,0.5,57.6,29.6
San Ramón,2023-09-04,30.4,17.1,5.6,58.3,18.8
San Ramón,2023-09-07,31.3,12.9,3.9,75.3,27.9
San Ramón,2023-09-10,23.7,19.9,0.3,65.5,15.1
San Ramón,2023-09-13,25.0,17.5,1.8,77.4,17.3
San Ramón,2023-09-16,24.6,15.6,1.4,67.2,20.1
San Ramón,2023-09-19,29.4,18.8,7.1,59.6,20.3
San Ramón,2023-09-22,28.9,13.8,13.2,62.8,19.2
San Ramón,2023-09-25,25.8,18.1,4.3,54.2,18.7
San Ramón,2023-09-28,27.2,13.8,0.6,66.0,18.4
San Ramón,2023-10-01,28.1,15.4,3.7,74.9,16.8
San Ramón,2023-10-04,27.9,16.9,2.0,64.0,23.1
San Ramón,2023-10-07,27.8,19.7,2.8,72.0,19.0
San Ramón,2023-10-10,28.9,16.3,1.8,70.8,18.4
San Ramón,2023-10-13,26.5,14.3,0.5,61.8,24.4
San Ramón,2023-10-16,24.4,16.9,0.9,48.5,28.1
San Ramón,2023-10-19,26.6,17.0,1.9,77.3,21.1
San Ramón,2023-10-22,30.2,17.7,2.9,75.2,27.9
San Ramón,2023-10-25,29.9,13.1,5.3,64.3,26.0
San Ramón,2023-10-28,27.7,18.8,1.3,76.3,19.0
San Ramón,2023-10-31,31.6,17.6,3.3,48.4,19.7
San Ramón,2023-11-03,28.7,17.1,2.6,66.3,20.2
San Ramón,2023-11-06,30.6,12.1,1.6,66.7,16.4
San Ramón,2023-11-09,28.5,19.1,0.4,68.6,23.5
San Ramón,2023-11-12,29.9,16.5,3.2,63.6,23.4
