codigo_campo,fundo,variedad,campana,hectareas,fecha_siembra,fecha_cosecha,tn_cosechadas,tn_por_ha,rendimiento_azucar_pct
C-1001,San Ramón,Q-208,2023-2024,19.8,2023-04-24,2024-03-25,1320.2,66.68,12.48
C-1002,Santa Rosa,Q-208,2023-2024,18.0,2023-04-05,2024-05-03,1315.8,73.1,12.94
C-1003,Los Álamos,H1,2023-2024,30.3,2023-03-18,2024-02-22,2114.6,69.79,12.08
C-1004,Santa Rosa,H2,2023-2024,9.2,2023-04-15,2024-03-20,664.3,72.21,11.52
C-1005,San Ramón,H2,2023-2024,13.1,2023-04-04,2024-04-16,959.7,73.26,11.7
C-1006,El Palmar,H2,2023-2024,18.5,2023-05-25,2024-05-09,1355.0,73.25,12.85
C-1007,Santa Rosa,CP-01,2023-2024,27.0,2023-03-22,2024-03-24,1843.6,68.28,13.66
C-1008,El Palmar,Q-208,2023-2024,28.7,2023-04-16,2024-04-24,2093.9,72.96,11.95
C-1009,Los Álamos,H1,2023-2024,19.0,2023-05-24,2024-04-20,1238.2,65.17,11.99
C-1010,La Esperanza,CP-01,2023-2024,25.9,2023-05-12,2024-05-04,1806.8,69.76,11.06
C-1011,Santa Rosa,H2,2023-2024,12.4,2023-05-14,2024-06-12,880.7,71.03,12.4
C-1012,San Ramón,CP-01,2023-2024,10.4,2023-04-10,2024-03-13,812.2,78.1,14.06
C-1013,La Esperanza,Q-208,2023-2024,27.4,2023-05-13,2024-05-28,1641.2,59.9,13.02
C-1014,La Esperanza,Q-208,2023-2024,12.8,2023-04-13,2024-05-06,1007.0,78.67,14.42
C-1015,San Ramón,CP-01,2023-2024,10.3,2023-05-12,2024-05-31,813.6,78.99,11.07
C-1016,San Ramón,Q-208,2023-2024,33.0,2023-03-27,2024-03-31,1959.2,59.37,11.28
C-1017,El Palmar,Q-208,2023-2024,10.2,2023-03-14,2024-03-24,755.6,74.08,11.52
C-1018,El Palmar,CP-01,2023-2024,19.9,2023-04-08,2024-03-04,1473.3,74.03,10.49
C-1019,Santa Rosa,CP-01,2023-2024,15.6,2023-03-18,2024-04-02,983.8,63.06,11.34
C-1020,Santa Rosa,H1,2023-2024,18.0,2023-04-09,2024-05-01,1441.3,80.07,12.31
C-1021,Los Álamos,H2,2024-2025,33.3,2024-03-05,2025-03-07,2817.7,84.62,12.69
C-1022,San Ramón,H1,2024-2025,22.0,2024-05-13,2025-04-30,1841.3,83.7,14.34
C-1023,La Esperanza,H2,2024-2025,33.3,2024-05-07,2025-04-04,2694.9,80.93,11.17
C-1024,San Ramón,H2,2024-2025,29.0,2024-03-09,2025-04-11,2228.8,76.86,12.61
C-1025,San Ramón,CP-01,2024-2025,11.3,2024-03-14,2025-04-12,832.8,73.7,10.91
C-1026,Santa Rosa,Q-208,2024-2025,11.3,2024-03-16,2025-04-14,831.0,73.54,14.1
C-1027,El Palmar,H2,2024-2025,33.0,2024-04-01,2025-04-07,2343.6,71.02,15.52
C-1028,El Palmar,H1,2024-2025,33.2,2024-04-20,2025-05-11,2701.5,81.37,11.63
C-1029,La Esperanza,Q-208,2024-2025,14.3,2024-04-15,2025-05-03,1023.6,71.58,12.39
C-1030,Santa Rosa,Q-208,2024-2025,20.3,2024-05-15,2025-04-27,1845.2,90.9,11.09
C-1031,El Palmar,CP-01,2024-2025,11.9,2024-03-23,2025-03-10,805.7,67.71,12.34
C-1032,La Esperanza,H2,2024-2025,8.6,2024-03-20,2025-02-16,585.2,68.05,12.69
C-1033,Los Álamos,H2,2024-2025,21.6,2024-05-24,2025-06-13,1659.7,76.84,14.39
C-1034,Los Álamos,Q-208,2024-2025,9.3,2024-04-01,2025-03-23,677.3,72.83,13.08
C-1035,Santa Rosa,H1,2024-2025,30.8,2024-05-25,2025-05-06,2389.7,77.59,12.38
C-1036,Los Álamos,Q-208,2024-2025,21.9,2024-04-27,2025-05-22,1562.9,71.37,12.05
C-1037,El Palmar,H2,2024-2025,19.3,2024-04-07,2025-03-26,1160.6,60.14,12.1
C-1038,La Esperanza,Q-208,2024-2025,32.7,2024-05-24,2025-05-22,2474.6,75.67,13.49
C-1039,El Palmar,CP-01,2024-2025,25.1,2024-03-08,2025-02-13,1850.3,73.72,13.4
C-1040,Santa Rosa,CP-01,2024-2025,10.3,2024-05-15,2025-06-14,784.0,76.11,13.27
