codigo_campo,campana,fecha,tipo_riego,volumen_m3,horas_riego,cumplimiento_pct
C-1001,2023-2024,2023-04-24,goteo,71.0,0.7,76.5
C-1001,2023-2024,2023-05-01,goteo,75.3,0.6,81.1
C-1001,2023-2024,2023-05-08,goteo,98.2,0.9,67.9
C-1001,2023-2024,2023-05-15,goteo,87.5,0.7,89.6
C-1001,2023-2024,2023-05-22,goteo,104.0,0.9,81.5
C-1001,2023-2024,2023-05-29,goteo,91.1,1.0,98.1
C-1001,2023-2024,2023-06-05,goteo,88.3,0.8,81.7
C-1001,2023-2024,2023-06-12,goteo,93.9,0.9,88.1
C-1001,2023-2024,2023-06-19,goteo,86.7,0.9,79.4
C-1001,2023-2024,2023-06-26,goteo,81.9,0.9,89.3
C-1001,2023-2024,2023-07-03,goteo,96.3,0.9,85.3
C-1001,2023-2024,2023-07-10,goteo,102.3,0.9,79.7
C-1001,2023-2024,2023-07-17,goteo,86.2,0.8,86.4
C-1001,2023-2024,2023-07-24,goteo,100.4,0.8,93.0
C-1001,2023-2024,2023-07-31,goteo,90.7,0.7,84.6
C-1001,2023-2024,2023-08-07,goteo,58.6,0.5,82.6
C-1001,2023-2024,2023-08-14,goteo,85.1,0.8,73.5
C-1001,2023-2024,2023-08-21,goteo,68.0,0.6,79.9
C-1001,2023-2024,2023-08-28,goteo,89.2,0.7,88.5
C-1001,2023-2024,2023-09-04,goteo,66.0,0.5,86.7
C-1001,2023-2024,2023-09-11,goteo,77.8,0.6,91.9
C-1001,2023-2024,2023-09-18,goteo,85.4,1.0,88.1
C-1001,2023-2024,2023-09-25,goteo,90.4,1.0,84.8
C-1001,2023-2024,2023-10-02,goteo,86.2,0.9,83.1
C-1001,2023-2024,2023-10-09,goteo,90.3,1.1,85.3
C-1001,2023-2024,2023-10-16,goteo,94.1,0.8,75.9
C-1001,2023-2024,2023-10-23,goteo,65.1,0.5,80.9
C-1001,2023-2024,2023-10-30,goteo,93.1,0.7,87.9
C-1001,2023-2024,2023-11-06,goteo,97.4,0.7,85.7
C-1001,2023-2024,2023-11-13,goteo,100.7,0.9,79.6
C-1001,2023-2024,2023-11-20,goteo,76.2,0.6,79.2
C-1001,2023-2024,2023-11-27,goteo,79.2,0.6,100.0
C-1001,2023-2024,2023-12-04,goteo,66.4,0.8,78.0
C-1001,2023-2024,2023-12-11,goteo,89.7,0.7,71.6
C-1001,2023-2024,2023-12-18,goteo,95.4,1.1,82.0
C-1001,2023-2024,2023-12-25,goteo,70.3,0.7,89.7
C-1001,2023-2024,2024-01-01,goteo,81.3,0.7,89.2
C-1001,2023-2024,2024-01-08,goteo,100.3,1.0,74.5
C-1001,2023-2024,2024-01-15,goteo,97.1,0.8,95.2
C-1001,2023-2024,2024-01-22,goteo,88.5,0.8,89.1
C-1001,2023-2024,2024-01-29,goteo,108.2,1.2,86.8
C-1001,2023-2024,2024-02-05,goteo,85.7,0.9,79.5
C-1001,2023-2024,2024-02-12,goteo,87.9,0.7,88.8
C-1001,2023-2024,2024-02-19,goteo,73.2,0.8,69.7
C-1001,2023-2024,2024-02-26,goteo,69.7,0.8,83.9
C-1001,2023-2024,2024-03-04,goteo,108.0,1.2,78.6
C-1001,2023-2024,2024-03-11,goteo,88.1,0.7,84.0
C-1001,2023-2024,2024-03-18,goteo,86.0,0.9,83.6
C-1002,2023-2024,2023-04-05,goteo,103.7,0.9,100.0
C-1002,2023-2024,2023-04-12,goteo,129.3,1.0,90.4
C-1002,2023-2024,2023-04-19,goteo,136.0,1.2,88.3
C-1002,2023-2024,2023-04-26,goteo,110.5,1.1,82.9
C-1002,2023-2024,2023-05-03,goteo,137.6,1.1,92.6
C-1002,2023-2024,2023-05-10,goteo,119.7,1.2,87.2
C-1002,2023-2024,2023-05-17,goteo,142.7,1.1,87.0
C-1002,2023-2024,2023-05-24,goteo,87.7,0.7,100.0
C-1002,2023-2024,2023-05-31,goteo,141.9,1.2,77.7
C-1002,2023-2024,2023-06-07,goteo,69.5,0.5,100.0
C-1002,2023-2024,2023-06-14,goteo,133.3,1.4,93.4
C-1002,2023-2024,2023-06-21,goteo,95.8,0.9,90.5
C-1002,2023-2024,2023-06-28,goteo,123.5,1.3,92.4
C-1002,2023-2024,2023-07-05,goteo,137.6,1.5,96.9
C-1002,2023-2024,2023-07-12,goteo,155.7,1.4,82.6
C-1002,2023-2024,2023-07-19,goteo,150.2,1.7,100.0
C-1002,2023-2024,2023-07-26,goteo,116.8,1.4,90.7
C-1002,2023-2024,2023-08-02,goteo,129.9,1.2,86.8
C-1002,2023-2024,2023-08-09,goteo,107.4,0.8,93.3
C-1002,2023-2024,2023-08-16,goteo,95.7,1.0,85.4
C-1002,2023-2024,2023-08-23,goteo,146.6,1.3,83.4
C-1002,2023-2024,2023-08-30,goteo,93.5,0.7,91.7
C-1002,2023-2024,2023-09-06,goteo,121.7,1.0,88.4
C-1002,2023-2024,2023-09-13,goteo,128.9,1.3,95.3
C-1002,2023-2024,2023-09-20,goteo,137.5,1.1,94.1
C-1002,2023-2024,2023-09-27,goteo,130.7,1.0,89.0
C-1002,2023-2024,2023-10-04,goteo,119.3,1.0,81.4
C-1002,2023-2024,2023-10-11,goteo,101.7,0.9,85.6
C-1002,2023-2024,2023-10-18,goteo,108.4,1.0,92.3
C-1002,2023-2024,2023-10-25,goteo,126.1,1.4,96.9
C-1002,2023-2024,2023-11-01,goteo,139.0,1.7,84.5
C-1002,2023-2024,2023-11-08,goteo,135.4,1.4,78.1
C-1002,2023-2024,2023-11-15,goteo,123.8,1.3,82.5
C-1002,2023-2024,2023-11-22,goteo,128.7,0.9,100.0
C-1002,2023-2024,2023-11-29,goteo,148.5,1.2,92.6
C-1002,2023-2024,2023-12-06,goteo,79.9,0.6,87.3
C-1002,2023-2024,2023-12-13,goteo,105.0,1.2,100.0
C-1002,2023-2024,2023-12-20,goteo,103.0,0.9,91.6
C-1002,2023-2024,2023-12-27,goteo,155.3,1.1,91.7
C-1002,2023-2024,2024-01-03,goteo,159.3,1.3,86.3
C-1002,2023-2024,2024-01-10,goteo,94.1,1.1,86.3
C-1002,2023-2024,2024-01-17,goteo,115.3,0.8,91.6
C-1002,2023-2024,2024-01-24,goteo,91.8,0.9,85.1
C-1002,2023-2024,2024-01-31,goteo,149.0,1.3,84.6
C-1002,2023-2024,2024-02-07,goteo,135.3,1.0,93.3
C-1002,2023-2024,2024-02-14,goteo,93.5,1.1,81.4
C-1002,2023-2024,2024-02-21,goteo,129.5,1.1,93.2
C-1002,2023-2024,2024-02-28,goteo,110.0,0.9,95.4
C-1002,2023-2024,2024-03-06,goteo,129.6,1.4,100.0
C-1002,2023-2024,2024-03-13,goteo,116.8,1.5,91.8
C-1002,2023-2024,2024-03-20,goteo,113.5,1.4,85.4
C-1002,2023-2024,2024-03-27,goteo,117.4,1.0,81.4
C-1002,2023-2024,2024-04-03,goteo,79.8,0.8,100.0
C-1002,2023-2024,2024-04-10,goteo,117.5,1.0,87.2
C-1002,2023-2024,2024-04-17,goteo,119.7,0.9,80.8
C-1002,2023-2024,2024-04-24,goteo,136.0,1.4,77.7
C-1003,2023-2024,2023-03-18,aspersión,146.3,1.5,80.8
C-1003,2023-2024,2023-03-25,aspersión,109.5,1.0,69.6
C-1003,2023-2024,2023-04-01,aspersión,114.6,0.8,98.2
C-1003,2023-2024,2023-04-08,aspersión,109.0,1.1,74.6
C-1003,2023-2024,2023-04-15,aspersión,121.7,1.5,76.5
C-1003,2023-2024,2023-04-22,aspersión,114.9,1.1,80.9
C-1003,2023-2024,2023-04-29,aspersión,83.5,0.7,76.2
C-1003,2023-2024,2023-05-06,aspersión,106.1,0.8,69.8
C-1003,2023-2024,2023-05-13,aspersión,84.8,0.6,79.3
C-1003,2023-2024,2023-05-20,aspersión,68.8,0.6,85.6
C-1003,2023-2024,2023-05-27,aspersión,99.9,1.1,90.1
C-1003,2023-2024,2023-06-03,aspersión,117.7,0.9,86.5
C-1003,2023-2024,2023-06-10,aspersión,118.9,0.9,82.1
C-1003,2023-2024,2023-06-17,aspersión,125.6,1.2,93.5
C-1003,2023-2024,2023-06-24,aspersión,103.1,0.8,79.4
C-1003,2023-2024,2023-07-01,aspersión,104.6,1.1,89.8
C-1003,2023-2024,2023-07-08,aspersión,137.0,1.1,80.1
C-1003,2023-2024,2023-07-15,aspersión,117.1,1.1,91.1
C-1003,2023-2024,2023-07-22,aspersión,74.1,0.9,77.2
C-1003,2023-2024,2023-07-29,aspersión,72.9,0.9,76.1
C-1003,2023-2024,2023-08-05,aspersión,108.5,1.1,81.5
C-1003,2023-2024,2023-08-12,aspersión,94.6,0.9,91.8
C-1003,2023-2024,2023-08-19,aspersión,95.5,1.0,87.9
C-1003,2023-2024,2023-08-26,aspersión,108.2,1.0,83.3
C-1003,2023-2024,2023-09-02,aspersión,123.6,0.9,83.4
C-1003,2023-2024,2023-09-09,aspersión,108.3,1.0,70.9
C-1003,2023-2024,2023-09-16,aspersión,123.4,1.0,75.3
C-1003,2023-2024,2023-09-23,aspersión,110.3,1.1,65.2
C-1003,2023-2024,2023-09-30,aspersión,86.8,0.7,95.1
C-1003,2023-2024,2023-10-07,aspersión,116.6,0.9,74.3
C-1003,2023-2024,2023-10-14,aspersión,93.1,0.8,83.9
C-1003,2023-2024,2023-10-21,aspersión,121.1,1.4,85.7
C-1003,2023-2024,2023-10-28,aspersión,114.5,1.3,89.9
C-1003,2023-2024,2023-11-04,aspersión,84.7,0.7,91.5
C-1003,2023-2024,2023-11-11,aspersión,131.8,1.1,68.6
C-1003,2023-2024,2023-11-18,aspersión,113.5,0.9,97.8
C-1003,2023-2024,2023-11-25,aspersión,120.5,1.0,76.3
C-1003,2023-2024,2023-12-02,aspersión,112.1,0.8,75.3
C-1003,2023-2024,2023-12-09,aspersión,146.3,1.1,92.5
C-1003,2023-2024,2023-12-16,aspersión,96.4,1.0,88.6
C-1003,2023-2024,2023-12-23,aspersión,119.3,1.3,88.5
C-1003,2023-2024,2023-12-30,aspersión,124.3,1.5,86.2
C-1003,2023-2024,2024-01-06,aspersión,81.9,1.0,79.0
C-1003,2023-2024,2024-01-13,aspersión,90.4,0.7,97.3
C-1003,2023-2024,2024-01-20,aspersión,134.7,1.0,94.3
C-1003,2023-2024,2024-01-27,aspersión,112.1,1.3,74.7
C-1003,2023-2024,2024-02-03,aspersión,118.5,1.1,73.0
C-1003,2023-2024,2024-02-10,aspersión,111.0,1.4,97.8
C-1004,2023-2024,2023-04-15,goteo,149.7,1.1,81.3
C-1004,2023-2024,2023-04-22,goteo,144.9,1.2,79.7
C-1004,2023-2024,2023-04-29,goteo,132.7,1.1,85.0
C-1004,2023-2024,2023-05-06,goteo,158.2,1.2,80.0
C-1004,2023-2024,2023-05-13,goteo,171.7,1.8,89.1
C-1004,2023-2024,2023-05-20,goteo,150.3,1.3,72.3
C-1004,2023-2024,2023-05-27,goteo,157.1,1.3,91.2
C-1004,2023-2024,2023-06-03,goteo,174.1,1.4,71.0
C-1004,2023-2024,2023-06-10,goteo,142.3,1.3,79.3
